quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2010Q3,912,800,327,0.1184683016790473,0.8804297836980515,70.09057487338563,0.12689476639771197,0.8704351870163483,60.97192006648502,0.11293706078495215,0.12444472294920446,0.11818187038082315,0.13609588131398265
2010Q4,853,800,380,0.1295920977226826,0.8693198923994707,69.9628821545728,0.1448565369673145,0.8528930854983889,62.80239168265092,0.12283981008724898,0.13578552884625136,0.1352329318544352,0.15491261574920923
2011Q1,573,573,321,0.11962467110707063,0.8788388972543728,70.89906033634135,0.13447219357672083,0.8628314581166646,62.068966857555154,0.11310909437053296,0.12673123931573954,0.12573823673265427,0.14329967590108533
2011Q2,902,800,467,0.11143805333028842,0.8874512442363744,74.73187209173206,0.12227925437438317,0.8758412579476177,68.42347697561148,0.10614309552414744,0.11681853325804667,0.11523368962660839,0.1291209344781008
2011Q3,1206,800,511,0.1099918324599007,0.8888956573306742,74.31918575653796,0.12583184982654505,0.8724574492924893,69.08286460586561,0.10426928386172034,0.11532909212847658,0.11820359150250884,0.13329704162378875
2011Q4,815,800,441,0.10740519391943291,0.8914790625729664,68.43660193252238,0.12000785378825174,0.8779966991681842,61.57169521636721,0.10187319687732901,0.11316866197806257,0.11256331448740635,0.12876286298582856
2012Q1,890,800,434,0.09852338490771896,0.9003497693234157,73.20827110652202,0.11221599487400644,0.8857384198607263,66.95841687361296,0.09354065991468959,0.10401274231308293,0.10464995444343778,0.12015841647699561
2012Q2,903,800,472,0.1023431136503134,0.8965348152417495,71.48173712144603,0.11400990599830117,0.8841129963449156,65.17859082033853,0.09747511895864125,0.10753062709406265,0.10658793872102186,0.1212184388445119
2012Q3,931,800,471,0.10421652699886534,0.8946637436598832,71.82733407692486,0.1281661165790006,0.8699828560676639,64.2269070133057,0.09850695380597228,0.11024057626320333,0.12021817707736053,0.13681836224520227
2012Q4,855,800,457,0.09978148870077908,0.8990932381600969,71.66939747603396,0.11735105476455944,0.8807175471058225,63.86342718559513,0.09437158742448735,0.10566021163788414,0.1098961610366986,0.12473870689401409
2013Q1,794,794,427,0.10731374502384466,0.8915619649824826,71.63175597221473,0.12119867931674476,0.8767432379650275,62.88313951883698,0.1017969683870523,0.11258704807333643,0.1131077805110571,0.12910170104709748
2013Q2,874,800,465,0.1013515080178877,0.8975251813671347,71.1579816726498,0.10950305093455168,0.888581901863157,66.48695914220008,0.09597560130719972,0.10670392004317704,0.10255876481290997,0.1172280479025049
