quarter,n_answers,n_questions,within_question_cosine,overall_cosine,within_question_cosine_lo,within_question_cosine_hi
2010Q3,4933,1404,0.5215150390901907,0.14823529960221532,0.518176038094586,0.5246787428624451
2010Q4,1744,680,0.5227246868806681,0.14497940349469873,0.5171547913819928,0.5279387503249156
2011Q1,1797,728,0.5219430186550779,0.1369406087007109,0.5161593684605374,0.5274248713035272
2011Q2,1316,558,0.5233364573355679,0.13935907094033217,0.5167612619221316,0.5297764980085213
2011Q3,1325,599,0.5288497709404094,0.13334536356523463,0.5221329388566175,0.5363705925257913
2011Q4,1083,528,0.5275005738284267,0.13396763117059454,0.5201438251514227,0.535091242616283
2012Q1,1385,705,0.5369841808326773,0.13056680197499926,0.5304770174223014,0.5434076811433568
2012Q2,1083,573,0.5336394781641274,0.12910227283872863,0.5262651780590264,0.5407831998827427
2012Q3,892,510,0.5314841545234888,0.13448289173004194,0.5235420916259306,0.5403517158105421
2012Q4,1117,625,0.531099855331364,0.13340647945319517,0.5241351465296347,0.5388556379774196
2013Q1,1351,716,0.5422290435889572,0.1235726116756613,0.5358022236502371,0.5493313200271295
2013Q2,929,528,0.5458807448204384,0.12796827588250015,0.538017495249568,0.5532108755389953
2013Q3,1074,646,0.538643114721874,0.12883570802950675,0.5304689977417978,0.5464911732903748
2013Q4,1195,725,0.535860490993832,0.12679675439972496,0.5282410496861577,0.5432089827780481
2014Q1,1199,711,0.5409508718629952,0.1301324753630362,0.5335204369751959,0.5477972502020119
2014Q2,902,547,0.5308986576670862,0.1283936379722412,0.5222384479536673,0.5390662457001038
2014Q3,1210,671,0.5361339802801413,0.1303951491691917,0.528382943245216,0.5429504519811791
2014Q4,1192,703,0.5333244888927929,0.12852323897264858,0.5259165500669154,0.5404384965766599
2015Q1,1478,855,0.5290913112349069,0.12544510752936094,0.5228226611761221,0.5351515614776596
2015Q2,1096,683,0.5311157523231872,0.13157953607899414,0.5235628942615776,0.5388284370442886
2015Q3,1065,645,0.533394653922361,0.12322698972322901,0.5258139249019632,0.5409880514060871
2015Q4,1271,769,0.526039170034042,0.13339477149904774,0.5191855960459122,0.532470151541369
2016Q1,1388,762,0.5256364851309882,0.1321341346458472,0.51862868508162,0.5322145230879464
2016Q2,954,571,0.5238705710114622,0.12967612463431324,0.5161887166077017,0.5317590027107217
2016Q3,1062,642,0.5332619603539356,0.12591883738551873,0.5254289969514889,0.5410665835091184
2016Q4,1194,682,0.5404576717132826,0.12617445158225987,0.5333536589917336,0.5478760852311335
2017Q1,1171,674,0.5311407728364961,0.13108968063668258,0.5236780795753891,0.5379767882554638
2017Q2,1028,577,0.522357864879648,0.13293305805852668,0.5150915762385165,0.5297944307512593
2017Q3,893,523,0.5251535745343632,0.12510030976533587,0.5162101022164013,0.5338597557689748
2017Q4,877,509,0.5284525012813088,0.12845840514414786,0.5203494544464582,0.5357138286872296
2018Q1,815,490,0.5282613721445745,0.12982439574884452,0.5188632671608786,0.5369741782488427
2018Q2,785,456,0.519115888147581,0.1276773658934104,0.5092915344728101,0.5293660037003918
2018Q3,750,437,0.5331361312368945,0.1258641392675643,0.5229577071752884,0.5428351238413918
2018Q4,1060,572,0.5396491131788295,0.1322308573090627,0.5313466034282855,0.5482230670205319
2019Q1,792,450,0.5229111185386839,0.13347526648597155,0.513177732894066,0.5318376052606489
2019Q2,681,393,0.5414379393279236,0.13302949858245852,0.5321488518543587,0.5503842318151143
2019Q3,780,423,0.5314937630796862,0.1270446798609514,0.5225772231246986,0.5403278807089473
2019Q4,719,414,0.5336205303371436,0.12145562686668146,0.5239960416833359,0.543282540271807
2020Q1,733,390,0.5335516903738803,0.12407354326040358,0.5238812109954185,0.5429669811750162
2020Q2,899,512,0.5346257976053679,0.12676079157666245,0.526372562827028,0.5430294330617229
2020Q3,595,335,0.5270928437236989,0.12729776789219807,0.5158358297095034,0.5386823297713963
2020Q4,630,345,0.5159875718156134,0.12295115453297657,0.505993637587647,0.5254479120962054
2021Q1,688,390,0.5332290222473541,0.12451722469736753,0.5243409454509278,0.5425255447485567
2021Q2,521,265,0.5274543565222795,0.12633771284935705,0.5160687966251185,0.5376164084808255
2021Q3,515,232,0.5062443210955291,0.129294646820705,0.49462082036978516,0.5169623668990736
2021Q4,425,230,0.5319864671710517,0.12819371816833658,0.5208686674658216,0.5435530373365903
2022Q1,338,182,0.5382722198520947,0.12840823433633167,0.5241200127824311,0.5516245204343441
2022Q2,310,178,0.5311049264504709,0.12182406835131188,0.5168363332483862,0.544560476994502
2022Q3,387,212,0.5116961623731119,0.12693438678429278,0.49951530672574085,0.5236049133617305
2022Q4,457,235,0.5267821190987714,0.14011992600858317,0.5149251085856236,0.5379411892030737
2023Q1,394,227,0.523716257277713,0.12028015340621134,0.509786048456814,0.535947427636869
2023Q2,325,185,0.5158901750239522,0.1318475585555021,0.5027216261695129,0.5293230645484152
2023Q3,302,161,0.526267676942188,0.12333366014281275,0.511678828818149,0.5422999176378963
2023Q4,329,196,0.5080292835110629,0.13005496464751143,0.4933345206481352,0.5233806562348705
2024Q1,332,184,0.5370596852140906,0.12007733458055798,0.5218243466147724,0.5519015057775862
2024Q2,265,153,0.5176729601343951,0.13515573144965037,0.5025742937000364,0.5327181635744366
2024Q3,244,154,0.531163532783604,0.1300657119977616,0.5116494382914601,0.5501852172264216
2024Q4,233,149,0.5371251701959677,0.12373304058276936,0.5197554793652306,0.5525670628545537
2025Q1,207,134,0.5197154565130855,0.13391677151443931,0.5001854112189991,0.5372874570538753
2025Q2,142,88,0.5126527602112707,0.11936252668548618,0.48996194233429025,0.5363491434376544
2025Q3,153,100,0.5022224640993067,0.11994896274358124,0.4796358796763943,0.526166881990588
2025Q4,175,95,0.532965860953609,0.12470390686435284,0.5131748082037451,0.5540456679496404
2026Q1,95,66,0.5152479592064539,0.12019949992179343,0.4866800518497286,0.5420279724781489
2026Q2,82,54,0.5002469422344253,0.11875296454386071,0.4621875396873006,0.5363681226948995
